"id";"ip_address";"event_name";"match_no";"time_sec";"robot";"alliance";"action";"location";"result";"points";"timestamp"
"5223";"192.168.1.131";"Week 2 PLANO";"3";"0";"148";"Red";"crosses_starting_line";"starting_line";"Success";"3";"2025-03-08 10:30:20"
"5224";"192.168.1.131";"Week 2 PLANO";"3";"2";"148";"Red";"picks_up_coral";"station";"Success";"0";"2025-03-08 10:30:21"
"5225";"192.168.1.131";"Week 2 PLANO";"3";"3";"148";"Red";"scores_coral_level_4";"reef";"Success";"8";"2025-03-08 10:30:22"
"5226";"192.168.1.131";"Week 2 PLANO";"3";"10";"148";"Red";"picks_up_coral";"station";"Success";"0";"2025-03-08 10:30:30"
"5227";"192.168.1.131";"Week 2 PLANO";"3";"14";"148";"Red";"scores_coral_level_4";"reef";"Failure";"0";"2025-03-08 10:30:34"
"5228";"192.168.1.110";"Week 2 PLANO";"3";"7";"5411";"Red";"scores_algae_processor";"processor";"Success";"12";"2025-03-08 10:30:35"
"5229";"192.168.1.131";"Week 2 PLANO";"3";"20";"148";"Red";"picks_up_coral";"station";"Success";"0";"2025-03-08 10:30:40"
"5230";"192.168.1.131";"Week 2 PLANO";"3";"24";"148";"Red";"scores_coral_level_4";"reef";"Success";"4";"2025-03-08 10:30:44"
"5231";"192.168.1.139";"Week 2 PLANO";"3";"19";"10014";"Blue";"picks_up_algae";"mid_field";"Success";"0";"2025-03-08 10:30:46"
"5232";"192.168.1.130";"Week 2 PLANO";"3";"28";"6171";"Blue";"disabled";"anywhere";"Success";"0";"2025-03-08 10:30:47"
"5233";"192.168.1.110";"Week 2 PLANO";"3";"19";"5411";"Red";"scores_algae_processor";"processor";"Success";"6";"2025-03-08 10:30:47"
"5234";"192.168.1.139";"Week 2 PLANO";"3";"21";"10014";"Blue";"scores_coral_level_4";"reef";"Success";"4";"2025-03-08 10:30:48"
"5235";"192.168.1.131";"Week 2 PLANO";"3";"31";"148";"Red";"picks_up_algae";"mid_field";"Failure";"0";"2025-03-08 10:30:50"
"5236";"192.168.1.131";"Week 2 PLANO";"3";"32";"148";"Red";"picks_up_coral";"station";"Success";"0";"2025-03-08 10:30:51"
"5237";"192.168.1.110";"Week 2 PLANO";"3";"29";"5411";"Red";"picks_up_coral";"station";"Success";"0";"2025-03-08 10:30:57"
"5238";"192.168.1.131";"Week 2 PLANO";"3";"39";"148";"Red";"scores_coral_level_4";"reef";"Failure";"0";"2025-03-08 10:30:58"
"5239";"192.168.1.139";"Week 2 PLANO";"3";"31";"10014";"Blue";"picks_up_algae";"mid_field";"Success";"0";"2025-03-08 10:30:58"
"5240";"192.168.1.139";"Week 2 PLANO";"3";"33";"10014";"Blue";"scores_coral_level_3";"reef";"Success";"3";"2025-03-08 10:31:00"
"5241";"192.168.1.131";"Week 2 PLANO";"3";"41";"148";"Red";"picks_up_algae";"mid_field";"Success";"0";"2025-03-08 10:31:01"
"5242";"192.168.1.131";"Week 2 PLANO";"3";"45";"148";"Red";"scores_algae_net";"net";"Success";"4";"2025-03-08 10:31:04"
"5243";"192.168.1.110";"Week 2 PLANO";"3";"37";"5411";"Red";"scores_coral_level_1";"reef";"Success";"1";"2025-03-08 10:31:05"
"5244";"192.168.1.110";"Week 2 PLANO";"3";"38";"5411";"Red";"picks_up_coral";"station";"Success";"0";"2025-03-08 10:31:06"
"5245";"192.168.1.131";"Week 2 PLANO";"3";"47";"148";"Red";"picks_up_coral";"station";"Success";"0";"2025-03-08 10:31:07"
"5246";"192.168.1.109";"Week 2 PLANO";"3";"58";"7091";"Red";"plays_defense";"opponent_side";"Success";"0";"2025-03-08 10:31:11"
"5247";"192.168.1.131";"Week 2 PLANO";"3";"52";"148";"Red";"scores_coral_level_4";"reef";"Failure";"0";"2025-03-08 10:31:11"
"5248";"192.168.1.131";"Week 2 PLANO";"3";"56";"148";"Red";"picks_up_coral";"station";"Success";"0";"2025-03-08 10:31:15"
"5249";"192.168.1.139";"Week 2 PLANO";"3";"48";"10014";"Blue";"picks_up_algae";"mid_field";"Success";"0";"2025-03-08 10:31:15"
"5250";"192.168.1.110";"Week 2 PLANO";"3";"50";"5411";"Red";"scores_coral_level_1";"reef";"Success";"1";"2025-03-08 10:31:18"
"5251";"192.168.1.131";"Week 2 PLANO";"3";"61";"148";"Red";"scores_coral_level_4";"reef";"Success";"4";"2025-03-08 10:31:21"
"5252";"192.168.1.110";"Week 2 PLANO";"3";"53";"5411";"Red";"picks_up_coral";"station";"Success";"0";"2025-03-08 10:31:21"
"5253";"192.168.1.131";"Week 2 PLANO";"3";"64";"148";"Red";"picks_up_coral";"station";"Failure";"0";"2025-03-08 10:31:23"
"5254";"192.168.1.110";"Week 2 PLANO";"3";"57";"5411";"Red";"scores_coral_level_1";"reef";"Success";"1";"2025-03-08 10:31:25"
"5255";"192.168.1.110";"Week 2 PLANO";"3";"60";"5411";"Red";"picks_up_coral";"station";"Success";"0";"2025-03-08 10:31:28"
"5256";"192.168.1.110";"Week 2 PLANO";"3";"64";"5411";"Red";"scores_coral_level_1";"reef";"Success";"1";"2025-03-08 10:31:32"
"5257";"192.168.1.131";"Week 2 PLANO";"3";"72";"148";"Red";"scores_coral_level_4";"reef";"Failure";"0";"2025-03-08 10:31:32"
"5258";"192.168.1.110";"Week 2 PLANO";"3";"68";"5411";"Red";"picks_up_coral";"station";"Failure";"0";"2025-03-08 10:31:36"
"5259";"192.168.1.131";"Week 2 PLANO";"3";"79";"148";"Red";"picks_up_coral";"station";"Failure";"0";"2025-03-08 10:31:39"
