"id";"ip_address";"event_name";"match_no";"time_sec";"robot";"alliance";"action";"location";"result";"points";"timestamp"
"9063";"192.168.1.125";"week 5 AMARILLO";"1";"1";"9080";"Blue";"crosses_starting_line";"starting_line";"Success";"3";"2025-03-28 09:37:46"
"9064";"192.168.1.103";"week 5 AMARILLO";"1";"4";"3035";"Red";"crosses_starting_line";"starting_line";"Success";"3";"2025-03-28 09:37:49"
"9065";"192.168.1.109";"week 5 AMARILLO";"1";"5";"10340";"Blue";"auton_right";"starting_pad";"Failure";"0";"2025-03-28 09:37:50"
"9066";"192.168.1.108";"week 5 AMARILLO";"1";"6";"2789";"Red";"auton_center";"starting_pad";"Failure";"0";"2025-03-28 09:37:51"
"9067";"192.168.1.109";"week 5 AMARILLO";"1";"6";"10340";"Blue";"auton_right";"starting_pad";"Failure";"0";"2025-03-28 09:37:52"
"9068";"192.168.1.109";"week 5 AMARILLO";"1";"21";"10340";"Blue";"picks_up_coral";"station";"Success";"0";"2025-03-28 09:38:08"
"9069";"192.168.1.103";"week 5 AMARILLO";"1";"27";"3035";"Red";"picks_up_coral";"station";"Success";"0";"2025-03-28 09:38:14"
"9070";"192.168.1.109";"week 5 AMARILLO";"1";"28";"10340";"Blue";"scores_coral_level_4";"reef";"Success";"4";"2025-03-28 09:38:15"
"9071";"192.168.1.142";"week 5 AMARILLO";"1";"32";"9105";"Red";"picks_up_coral";"station";"Success";"0";"2025-03-28 09:38:19"
"9072";"192.168.1.109";"week 5 AMARILLO";"1";"35";"10340";"Blue";"crosses_starting_line";"starting_line";"Success";"0";"2025-03-28 09:38:22"
"9073";"192.168.1.142";"week 5 AMARILLO";"1";"36";"9105";"Red";"picks_up_coral";"station";"Failure";"0";"2025-03-28 09:38:23"
"9074";"192.168.1.109";"week 5 AMARILLO";"1";"38";"10340";"Blue";"picks_up_coral";"station";"Success";"0";"2025-03-28 09:38:25"
"9075";"192.168.1.142";"week 5 AMARILLO";"1";"42";"9105";"Red";"picks_up_coral";"station";"Success";"0";"2025-03-28 09:38:29"
"9076";"192.168.1.125";"week 5 AMARILLO";"1";"42";"9080";"Blue";"picks_up_algae";"mid_field";"Failure";"0";"2025-03-28 09:38:29"
"9077";"192.168.1.103";"week 5 AMARILLO";"1";"44";"3035";"Red";"picks_up_coral";"station";"Success";"0";"2025-03-28 09:38:31"
"9078";"192.168.1.142";"week 5 AMARILLO";"1";"47";"9105";"Red";"scores_coral_level_4";"reef";"Success";"4";"2025-03-28 09:38:34"
"9079";"192.168.1.108";"week 5 AMARILLO";"1";"50";"2789";"Red";"picks_up_coral";"station";"Failure";"0";"2025-03-28 09:38:37"
"9080";"192.168.1.103";"week 5 AMARILLO";"1";"54";"3035";"Red";"scores_coral_level_3";"reef";"Success";"3";"2025-03-28 09:38:41"
